Latitute,Longitude ,Bin_Number,,,,
12.879995,80.07858,1,,,,
12.880075,80.078284,2,,,,
12.880195,80.078042,3,,,,
12.880242,80.077833,4,,,,
12.880336,80.077602,5,,,,
12.880424,80.077378,6,,,,
12.880503,80.077136,7,,,,
12.88043,80.076799,8,,,,
12.880518,80.076922,9,,,,
12.880215,80.076766,10,,,,
12.880027,80.076831,11,,,,
12.879985,80.076997,12,,,,
12.879938,80.077174,13,,,,
12.879901,80.077351,14,,,,
12.879818,80.077496,15,,,,
12.879781,80.077743,16,,,,
12.879708,80.077904,17,,,,
12.87965,80.07806,18,,,,
12.879603,80.078264,19,,,,
12.879512,80.078409,20,,,,
12.881547,80.076461,21,,,,
12.881715,80.075999,22,,,,
12.881924,80.075602,23,,,,
12.882101,80.075261,24,,,,
12.882206,80.074756,25,,,,
12.881861,80.074681,26,,,,
12.881725,80.075046,27,,,,
12.881536,80.075368,28,,,,
12.881421,80.07583,29,,,,
12.881264,80.076291,30,,,,
12.879586,80.07653,31,,,,
12.879356,80.076605,32,,,,
12.879282,80.076814,33,,,,
12.879481,80.076503,34,,,,
12.879251,80.077018,35,,,,
12.879193,80.077212,36,,,,
12.879146,80.077357,37,,,,
12.879037,80.077459,38,,,,
12.878995,80.077695,39,,,,
12.878911,80.077877,40,,,,
12.879795,80.07505,41,,,,
12.87969,80.075254,42,,,,
12.880046,80.074761,43,,,,
12.88037,80.075362,44,,,,
12.880642,80.075008,45,,,,
12.881113,80.075201,46,,,,
12.880893,80.075544,47,,,,
12.881018,80.075534,48,,,,
12.879696,80.075132,49,,,,
12.881133,80.075362,50,,,,
