,Date,Latitude,Longitude,Bin_Number,Bin_value,bin_cate
0,2022-02-01,12.879995,80.07858,1,85,1
1,2022-02-01,12.880075,80.078284,2,41,1
2,2022-02-01,12.880195,80.078042,3,72,1
3,2022-02-01,12.880242,80.077833,4,26,1
4,2022-02-01,12.880336,80.077602,5,27,1
5,2022-02-01,12.880424,80.077378,6,45,1
6,2022-02-01,12.880503,80.077136,7,67,1
7,2022-02-01,12.88043,80.076799,8,92,1
8,2022-02-01,12.880518,80.076922,9,29,1
9,2022-02-01,12.880215,80.076766,10,65,1
10,2022-02-01,12.880027,80.076831,11,83,2
11,2022-02-01,12.879985,80.076997,12,81,2
12,2022-02-01,12.879938,80.077174,13,36,2
13,2022-02-01,12.879901,80.077351,14,51,2
14,2022-02-01,12.879818,80.077496,15,59,2
15,2022-02-01,12.879781,80.077743,16,92,2
16,2022-02-01,12.879708,80.077904,17,90,2
17,2022-02-01,12.87965,80.07806,18,85,2
18,2022-02-01,12.879603,80.078264,19,63,2
19,2022-02-01,12.879512,80.078409,20,73,2
20,2022-02-01,12.881547,80.076461,21,83,3
21,2022-02-01,12.881715,80.075999,22,91,3
22,2022-02-01,12.881924,80.075602,23,74,3
23,2022-02-01,12.882101,80.075261,24,76,3
24,2022-02-01,12.882206,80.074756,25,72,3
25,2022-02-01,12.881861,80.074681,26,48,3
26,2022-02-01,12.881725,80.075046,27,25,3
27,2022-02-01,12.881536,80.075368,28,29,3
28,2022-02-01,12.881421,80.07583,29,98,3
29,2022-02-01,12.881264,80.076291,30,46,3
30,2022-02-01,12.879586,80.07653,31,28,4
31,2022-02-01,12.879356,80.076605,32,53,4
32,2022-02-01,12.879282,80.076814,33,30,4
33,2022-02-01,12.879481,80.076503,34,76,4
34,2022-02-01,12.879251,80.077018,35,55,4
35,2022-02-01,12.879193,80.077212,36,68,4
36,2022-02-01,12.879146,80.077357,37,85,4
37,2022-02-01,12.879037,80.077459,38,36,4
38,2022-02-01,12.878995,80.077695,39,70,4
39,2022-02-01,12.878911,80.077877,40,78,4
40,2022-02-01,12.879795,80.07505,41,39,5
41,2022-02-01,12.87969,80.075254,42,59,5
42,2022-02-01,12.880046,80.074761,43,39,5
43,2022-02-01,12.88037,80.075362,44,53,5
44,2022-02-01,12.880642,80.075008,45,34,5
45,2022-02-01,12.881113,80.075201,46,89,5
46,2022-02-01,12.880893,80.075544,47,26,5
47,2022-02-01,12.881018,80.075534,48,55,5
48,2022-02-01,12.879696,80.075132,49,95,5
49,2022-02-01,12.881133,80.075362,50,99,5
50,2022-02-02,12.879995,80.07858,1,38,1
51,2022-02-02,12.880075,80.078284,2,83,1
52,2022-02-02,12.880195,80.078042,3,70,1
53,2022-02-02,12.880242,80.077833,4,56,1
54,2022-02-02,12.880336,80.077602,5,59,1
55,2022-02-02,12.880424,80.077378,6,82,1
56,2022-02-02,12.880503,80.077136,7,94,1
57,2022-02-02,12.88043,80.076799,8,99,1
58,2022-02-02,12.880518,80.076922,9,78,1
59,2022-02-02,12.880215,80.076766,10,63,1
60,2022-02-02,12.880027,80.076831,11,67,2
61,2022-02-02,12.879985,80.076997,12,88,2
62,2022-02-02,12.879938,80.077174,13,26,2
63,2022-02-02,12.879901,80.077351,14,77,2
64,2022-02-02,12.879818,80.077496,15,61,2
65,2022-02-02,12.879781,80.077743,16,26,2
66,2022-02-02,12.879708,80.077904,17,55,2
67,2022-02-02,12.87965,80.07806,18,38,2
68,2022-02-02,12.879603,80.078264,19,48,2
69,2022-02-02,12.879512,80.078409,20,36,2
70,2022-02-02,12.881547,80.076461,21,90,3
71,2022-02-02,12.881715,80.075999,22,30,3
72,2022-02-02,12.881924,80.075602,23,74,3
73,2022-02-02,12.882101,80.075261,24,94,3
74,2022-02-02,12.882206,80.074756,25,40,3
75,2022-02-02,12.881861,80.074681,26,46,3
76,2022-02-02,12.881725,80.075046,27,89,3
77,2022-02-02,12.881536,80.075368,28,62,3
78,2022-02-02,12.881421,80.07583,29,30,3
79,2022-02-02,12.881264,80.076291,30,79,3
80,2022-02-02,12.879586,80.07653,31,99,4
81,2022-02-02,12.879356,80.076605,32,64,4
82,2022-02-02,12.879282,80.076814,33,62,4
83,2022-02-02,12.879481,80.076503,34,46,4
84,2022-02-02,12.879251,80.077018,35,63,4
85,2022-02-02,12.879193,80.077212,36,62,4
86,2022-02-02,12.879146,80.077357,37,27,4
